上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3068","美磊","51.30","- 0.70 ","51.30","52.60","51.00","161,000","8,338,600","128","51.30","51.60","85,039,204","56.40","46.20"
"3071","協禧","7.17","- 0.29 ","7.46","7.47","7.17","421,000","3,074,420","165","7.17","7.25","146,067,876","7.88","6.46"
"3073","普格","13.65","+ 0.15 ","13.50","13.65","13.50","77,000","1,047,050","45","13.50","13.65","46,463,665","15.00","12.30"
"3078","僑威","32.10","- 1.00 ","33.35","33.40","32.05","3,845,000","125,146,150","1,743","32.10","32.15","227,391,064","35.30","28.90"
"3081","聯亞","317.50","- 4.00 ","316.50","319.50","315.00","660,000","209,195,000","589","317.50","318.00","91,257,677","349.00","286.00"
"3083","網龍","37.20","- 0.60 ","37.65","38.15","37.20","398,000","15,030,050","316","37.20","37.50","85,704,358","40.90","33.50"
"3085","久大","14.10","- 0.20 ","14.50","15.00","14.00","136,000","1,982,150","49","14.05","14.50","71,226,713","15.50","12.70"
"3086","華義","6.39","- 0.01 ","6.32","6.41","6.32","112,000","714,470","50","6.38","6.40","62,921,327","7.02","5.76"
"3088","艾訊","59.90","+ 0.40 ","59.60","60.30","59.50","115,000","6,886,800","104","59.80","59.90","79,031,034","65.80","54.00"
"3089","遠昇","10.60","- 0.50 ","11.00","11.00","10.60","15,000","162,600","11","10.55","10.60","73,890,463","11.65","9.54"
"3092","鴻碩","36.40","- 1.40 ","38.60","40.80","36.40","16,789,000","647,832,650","8,996","36.40","36.60","63,471,690","40.00","32.80"
"3093","港建","34.10","0.00 ","34.00","34.10","34.00","3,000","102,200","3","34.00","34.30","36,288,894","37.50","30.70"
"3095","及成","1.83","+ 0.03 ","1.80","1.83","1.80","53,000","95,730","8","1.83","1.84","109,276,321","2.01","1.65"
"3105","穩懋","90.60","- 0.30 ","92.10","92.10","89.50","3,301,000","298,689,100","1,963","90.60","90.70","407,666,384","99.60","81.60"
